2018,,,
State,Total population ,Number in poverty,Percent in poverty
Alabama,"4,877",779,16
Alaska,720,94,13.1
Arizona,"7,241",929,12.8
Arkansas,"2,912",462,15.9
California,"39,150","4,664",11.9
Colorado,"5,739",521,9.1
Connecticut,"3,413",348,10.2
Delaware,976,72,7.4
District of Columbia,692,102,14.7
Florida,"21,120","2,883",13.7
Georgia,"10,420","1,548",14.8
Hawaii,"1,393",128,9.2
Idaho,"1,766",202,11.5
Illinois,"12,590","1,292",10.3
Indiana,"6,582",761,11.6
Iowa,"3,110",277,8.9
Kansas,"2,835",212,7.5
Kentucky,"4,445",696,15.7
Louisiana,"4,510",858,19
Maine,"1,321",153,11.6
Maryland,"6,030",480,8
Massachusetts,"6,883",601,8.7
Michigan,"9,913","1,036",10.5
Minnesota,"5,746",456,7.9
Mississippi,"2,899",567,19.6
Missouri,"6,026",745,12.4
Montana,"1,041",107,10.3
Nebraska,"1,893",199,10.5
Nevada,"3,008",390,13
New Hampshire,"1,349",82,6.1
New Jersey,"8,790",725,8.2
New Mexico,"2,054",342,16.6
New York,"19,340","2,145",11.1
North Carolina,"10,370","1,355",13.1
North Dakota,745,72,9.7
Ohio,"11,450","1,365",11.9
Oklahoma,"3,858",518,13.4
Oregon,"4,172",404,9.7
Pennsylvania,"12,520","1,476",11.8
Rhode Island,"1,036",92,8.9
South Carolina,"5,036",642,12.8
South Dakota,853,90,10.6
Tennessee,"6,665",800,12
Texas,"28,500","3,894",13.7
Utah,"3,173",219,6.9
Vermont,616,60,9.7
Virginia,"8,393",821,9.8
Washington,"7,555",647,8.6
West Virginia,"1,762",279,15.9
Wisconsin,"5,795",499,8.6
Wyoming,565,53,9.5
