2020,,,
State,Total population,Number in poverty,Percent in poverty
Alabama,"5,001",744,14.9
Alaska,708,95,13.4
Arizona,"7,203",783,10.9
Arkansas,"2,974",420,14.1
California,"39,200","4,332",11.1
Colorado,"5,717",546,9.5
Connecticut,"3,545",396,11.2
Delaware,991,104,10.5
District of Columbia,680,114,16.8
Florida,"21,510","2,854",13.3
Georgia,"10,560","1,399",13.3
Hawaii,"1,427",155,10.9
Idaho,"1,862",170,9.1
Illinois,"12,640","1,010",8
Indiana,"6,685",807,12.1
Iowa,"3,163",290,9.2
Kansas,"2,891",267,9.3
Kentucky,"4,454",621,13.9
Louisiana,"4,545",704,15.5
Maine,"1,366",109,8
Maryland,"6,077",569,9.4
Massachusetts,"6,943",586,8.4
Michigan,"9,891","1,112",11.2
Minnesota,"5,602",476,8.5
Mississippi,"2,937",516,17.6
Missouri,"6,044",647,10.7
Montana,"1,080",118,10.9
Nebraska,"1,953",162,8.3
Nevada,"3,123",404,12.9
New Hampshire,"1,387",87,6.2
New Jersey,"9,119",744,8.2
New Mexico,"2,064",343,16.6
New York,"19,580","2,313",11.8
North Carolina,"10,410","1,441",13.8
North Dakota,761,81,10.7
Ohio,"11,700","1,487",12.7
Oklahoma,"3,885",604,15.5
Oregon,"4,114",387,9.4
Pennsylvania,"12,690","1,352",10.7
Rhode Island,"1,086",93,8.5
South Carolina,"5,110",684,13.4
South Dakota,878,102,11.6
Tennessee,"6,934",912,13.1
Texas,"28,920","4,057",14
Utah,"3,272",242,7.4
Vermont,639,55,8.6
Virginia,"8,501",663,7.8
Washington,"7,585",625,8.2
West Virginia,"1,760",249,14.2
Wisconsin,"5,836",466,8
Wyoming,561,55,9.7
