State,Total population,Number in poverty,Percent in poverty
Alabama,"4,961",787,15.9
Alaska,712,81,11.4
Arizona,"7,303",922,12.6
Arkansas,"2,981",502,16.8
California,"38,770","4,615",11.9
Colorado,"5,724",455,7.9
Connecticut,"3,553",285,8
Delaware,996,117,11.7
District of Columbia,650,91,14
Florida,"21,650","2,721",12.6
Georgia,"10,670","1,490",14
Hawaii,"1,427",156,10.9
Idaho,"1,905",177,9.3
Illinois,"12,460","1,339",10.7
Indiana,"6,778",704,10.4
Iowa,"3,182",309,9.7
Kansas,"2,891",206,7.1
Kentucky,"4,459",725,16.2
Louisiana,"4,519",830,18.4
Maine,"1,354",123,9.1
Maryland,"6,095",469,7.7
Massachusetts,"6,841",522,7.6
Michigan,"9,842","1,147",11.7
Minnesota,"5,532",382,6.9
Mississippi,"2,913",506,17.4
Missouri,"6,046",742,12.3
Montana,"1,114",120,10.7
Nebraska,"1,970",159,8.1
Nevada,"3,089",397,12.8
New Hampshire,"1,390",96,6.9
New Jersey,"9,220",698,7.6
New Mexico,"2,097",377,18
New York,"19,350","2,428",12.5
North Carolina,"10,600","1,249",11.8
North Dakota,760,65,8.5
Ohio,"11,740","1,364",11.6
Oklahoma,"3,904",589,15.1
Oregon,"4,220",389,9.2
Pennsylvania,"12,640","1,362",10.8
Rhode Island,"1,087",102,9.4
South Carolina,"5,214",713,13.7
South Dakota,884,74,8.4
Tennessee,"6,958",740,10.6
Texas,"29,390","3,977",13.5
Utah,"3,333",264,7.9
Vermont,631,47,7.5
Virginia,"8,489",831,9.8
Washington,"7,670",587,7.7
West Virginia,"1,754",296,16.9
Wisconsin,"5,910",551,9.3
Wyoming,568,53,9.4
