2022,,,
State,Total population,Number in poverty ,Percent in poverty
Alabama,"4,990",681,13.6
Alaska,708,68,9.6
Arizona,"7,239",920,12.7
Arkansas,"2,993",496,16.6
California,"38,690","4,346",11.2
Colorado,"5,732",465,8.1
Connecticut,"3,602",368,10.2
Delaware,"1,035",97,9.3
District of Columbia,654,88,13.4
Florida,"22,190","2,988",13.5
Georgia,"10,920","1,280",11.7
Hawaii,"1,423",126,8.8
Idaho,"1,947",159,8.2
Illinois,"12,350","1,173",9.5
Indiana,"6,792",704,10.4
Iowa,"3,183",299,9.4
Kansas,"2,846",298,10.5
Kentucky,"4,453",763,17.1
Louisiana,"4,519",761,16.9
Maine,"1,381",133,9.6
Maryland,"6,202",535,8.6
Massachusetts,"6,860",658,9.6
Michigan,"9,961","1,206",12.1
Minnesota,"5,626",427,7.6
Mississippi,"2,881",531,18.4
Missouri,"6,057",693,11.4
Montana,"1,119",117,10.4
Nebraska,"1,946",154,7.9
Nevada,"3,170",380,12
New Hampshire,"1,385",115,8.3
New Jersey,"9,151",799,8.7
New Mexico,"2,113",427,20.2
New York,"19,490","2,480",12.7
North Carolina,"10,740","1,525",14.2
North Dakota,764,74,9.7
Ohio,"11,620","1,154",9.9
Oklahoma,"3,948",665,16.9
Oregon,"4,230",419,9.9
Pennsylvania,"12,740","1,383",10.9
Rhode Island,"1,069",90,8.4
South Carolina,"5,262",677,12.9
South Dakota,886,80,9.1
Tennessee,"7,010",736,10.5
Texas,"29,920","4,031",13.5
Utah,"3,338",200,6
Vermont,641,58,9
Virginia,"8,489",704,8.3
Washington,"7,705",696,9
West Virginia,"1,746",270,15.5
Wisconsin,"5,807",386,6.6
Wyoming,562,40,7.1
